role,company,exp,salary,location,desc,req
Senior Data Analyst,Vertex Offshore Services Pvt Ltd,7-10 Yrs,Not disclosed,Hyderabad,Must have experience in property and casualty insurance or in financial servicesMust ha...,"Data Transformation
Data Analysis
Metadata
Data Cleansing
Data Modeling
Data Warehousing
data analyst
SQL"
Hiring For Data Analyst & Data Scientist in Abroad,Global Immigration Consultancy Inc.,3-8 Yrs,"25,00,000 - 37,50,000 PA.","United States (U.S), Hong Kong, Canada","About the Position As we build the future of consumer insurance in a modern age, data i...","IT Skills
Python
Testing
Cloud
AWS
Tableau
matlab
advanced analytics"
Hiring For Data Analyst & Data Scientist in Abroad,Global Immigration Consultancy Inc.,3-8 Yrs,"25,00,000 - 30,00,000 PA.","Hong Kong, Canada, Singapore","Jobs & Responsiblities: Use strong business acumen, as well as an ability to communicat...","logical approach
Interpersonal skills
Problem - solving skills
Teamworking skills
ability to plan
assess the quality
analysis to determine
assess the inspection"
"Data Analyst/ Data Scientist at NKP Goregoan, Mumbai in MNC Bank",Novel Financial Solutions Pvt LTd,2-6 Yrs,"3,00,000 - 4,00,000 PA.",Mumbai,"Data analysis, 3-5 years of minimum work experience in operations or data processing. M...","Data Validation
VBA
VLOOKUP
Data Management
Data Analysis
Formulas
Conditional Formatting
Pivot"
Data Scientist / Research Analyst,Franklin Templeton International,2-6 Yrs,Not disclosed,Hyderabad,What is the Research Analyst / Data Scientist in Investment Management team responsible...,"Data analysis
Coding
Fixed income
Machine learning
HTTP
Investment management
Medical insurance
Data mining"
Data Scientist / Research Analyst,Franklin Templeton International,2-6 Yrs,Not disclosed,Hyderabad,Management team responsible for Partner with investment teams to provide machine learni...,"Data analysis
Coding
Fixed income
Machine learning
HTTP
Investment management
Medical insurance
Data mining"
Data Scientist/ Analyst - Machine Learning/deep Learning,EchoIndia,3-6 Yrs,Not disclosed,Delhi,Strong experience in statistical models and machine learning models,"ArcGIS
Google Maps
NLP
Data Scientist
Data Management
Statistical Modeling
Tableau
Machine Learning"
Lead Data Scientist - Analyst,ExecBoardinAsia,5-10 Yrs,Not disclosed,Mumbai,Analyzing and defining business problems Defining rough technology and system requireme...,"Analyst
Manager Technology
Workflow
Data analytics
Research"
"Lead Data Scientist - Data Analysis, Machine Learning",HERE,8-13 Yrs,Not disclosed,Mumbai,What You?ll Get: Challenging problems to solve Opportunities to learn cool new things W...,"GIS
Data analysis
SAS
Social media
Debugging
Data mining
MATLAB
Automotive"
Sr. Business Intelligence Analyst - Data Scientist,Wolters Kluwer Private Limited,4-8 Yrs,Not disclosed,Pune,Roles and Responsibilities This is an exciting opportunity be part of the Business Inte...,"Data Science
Predictive Modeling
Business Intelligence
Logistic Regression
NLP
Text Analytics
Data Visualization
Tableau"
Software Analyst (Data Scientist),Kodiak Networks India Private Limited,3-8 Yrs,Not disclosed,Bengaluru(Manayata Tech Park),Required Skills and Technical Experience:3+ years of industry experience in predictive ...,"Predictive Modeling
Natural Language Processing
Python
IT Skills
Python
Big Data
AWS
Azure"
Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,2-7 Yrs,Not disclosed,Hyderabad,Experience : 1 2 years Requirements : Excellent verbal and written skills Self driven D...,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
Data Analyst / Data Scientist,Veda Semantics,3-5 Yrs,Not disclosed,Bengaluru,"Create your Trusted Network Digital Identity amp; Transaction Management of People , De...","Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,0-4 Yrs,Not disclosed,Noida,Job description: Responsibilities •Defining database format and structures •Dealing dir...,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
Data Analyst/ Data Scientist,Platinus Technologies Private Limited,7-12 Yrs,"15,00,000 - 20,00,000 PA.",Hyderabad,Location: Remote / Work from homeHiring a Part-time Supporter for Data ScientistData Sc...,"C++
C
Algorithms
Opencv
Image Processing
Data Structures
Computer Vision
Business Development Management"
Data Scientist/Data Analyst/Data Engineering,Similarityx solutions private limited,0-2 Yrs,"2,25,000 - 3,00,000 PA.","Chennai, Bengaluru, Hyderabad",1.Ability to translate business problems into analytical structures and can be solved u...,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
Data Analyst / Data Scientist - C++/c#/java,Confidential,5-7 Yrs,Not disclosed,Hyderabad,Required Skills & Qualifications : - Strong technical leadership 3 + years of experienc...,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
Data Scientist - Machine Learning & Statistical Analysis - R/python,Talent Stock Solutions,2-5 Yrs,Not disclosed,Delhi,Data Scientist|Tech based Startup | IIT NIT What you'll do : - Analyze and dig out care...,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
"Hiring For Data Scientist-research and Analyst, Kalyani Nagar, PunR",Wolters Kluwer India Pvt Ltd,4-7 Yrs,Not disclosed,Pune,Essential Responsibilities Efficiently and accurately work on all assigned projects bas...,"texanomies
categorization
Content Analysis
Tagging
Content Research"
DATA Engineers/ Scientist/ Analyst || Crmnext || 3-8 || Mumbai,Acidaes Solutions Pvt. Ltd.,3-8 Yrs,Not disclosed,Mumbai,"In case, you find the company profile and JD matching your aspirations and your profile...","Data Quality
Artificial Intelligence
Requirement Gathering
Big Data
Data Governance
Machine Learning
Python"
Hiring For Data Analyst/ Data Scientist For an Organisation in Delhi,M/s SIWA SEARCHER PVT. LTD.,3-6 Yrs,"5,00,000 - 10,00,000 PA.",Delhi NCR,"Mandatory : Python, Advanced Excel, Data cleaning, Modeling .Understanding and hands-on...","Statistical Modeling
Data Mining
Advanced Excel
Data Cleaning
Algorithm
Python"
Senior Data Scientist & Data Analyst,BSRI Solutions Private Limited,4-8 Yrs,"6,00,000 - 15,00,000 PA.",Chennai,"Bachelor / Masters Degree in a technical field is required (computer science, informati...","cloudera
hive
python
data analysis
data mining
pyspark
hadoop framework
machine learning"
Sr. Data Scientist / Analyst,Speridian Technologies Pvt Ltd,10-15 Yrs,Not disclosed,"Mumbai, Bengaluru","Experience: 10 Yrs of Relevant Experience Skills Required: Python, R with Big Data Back...","Analyst
Artificial Intelligence
Social media
Manager Technology
Customer service
Data mining
big data
Operations"
Data Scientist / Data Analyst,Bloom Consulting Services,6-11 Yrs,Not disclosed,Bengaluru,"Experience working with big data tools such as MapReduce, Pig, Spark and NoSQL data wil...","Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
Data Scientist / Analyst,Hyrefox,2-7 Yrs,Not disclosed,Jaipur,Experience creating and using advanced machine learning algorithms and statistics: regr...,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
Data Analyst/Scientist,itForte Staffing Services Private Ltd.,3-7 Yrs,Not disclosed,Gurgaon,Experience with common data science toolkits - Great communication skills - Experienc...,"MS SQL
Algorithms
Consulting
Machine learning
Data collection
Tools
Data Analyst
Technology solutions"
Data Scientist / Analyst,SevenMentor Private Limited,0-3 Yrs,Not disclosed,Pune,R/ Python/SAS/SPSS programming skills Experience of statistical techniques Experience o...,"Computer science
Analyst
SAS
Machine learning
Programming
Computer application
Data Analyst
SPSS"
Sr Data Analyst/Data Scientist,Brillius technologies,3-6 Yrs,Not disclosed,Noida,Sr Data Analyst / Data scientist (R-19-05-SrDA) Responsibilities: Write complex SQL que...,Sr Data Analyst/Data Scientist
Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,3-8 Yrs,Not disclosed,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",•Build an in-depth understanding of the problem domain and available data assets •Resea...,"Data analysis
software
Data mining
tools
Analytics
research
Data architecture
Computer science"
Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,3-8 Yrs,Not disclosed,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",Job Description: Build an in-depth understanding of the problem domain and available da...,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
"Lead Data Scientist (data Analysis, Machine Learning)",HERE Technologies,5-10 Yrs,Not disclosed,"Mumbai, Mumbai City","MS or PhD in a discipline such as Statistics, Applied Mathematics, Computer Science, Da...","Data Science
data analysis
Algorithm development
Statistical Modeling
Machine Learning
Modeling
Python"
Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,5-10 Yrs,"50,000 - 3,00,000 PA.","Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",Good Knowledge of the Technologies and guiding them regarding the interview processGood...,"Data Scientist
Data Analyst"
Data Scientist/ Analyst,Applied Data Finance,2-3 Yrs,Not disclosed,Chennai,Roles and Responsibilities: Use of cutting edge machine learning techniques for solving...,"g Python query language
MySQL Object Oriented program"
Data Scientist / Analyst,Adoro,2-5 Yrs,Not disclosed,Mumbai,If you are someone who always argues that data tells you everything and can speak numbe...,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
Data Scientist / Business Analyst,Analytics Vidhya Educon Pvt. Ltd,10-15 Yrs,Not disclosed,Mumbai,Job Description and Responsibilities: Help Leadership to use data to come up with intel...,"MS SQL
Excel
data science
Financial reporting
RDBMS
Database design
Analytical
HTML"
Data Scientist / Analyst,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Chennai,Job Description and Responsibilities: 2+ years of experience in analytics industry Abil...,"Analyst
SAS R
Author
HTML
Analytics
Android
Python"
Business Analyst - Data Scientist,Hyrefox,3-5 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Analyst - Data Scientist,Hyrefox,1-3 Yrs,Not disclosed,Gurgaon,• Experience in advanced analytics with exposure to Operational/ Web/ HR analytics • Go...,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
Web Analyst - Data Scientist,Analytics Vidhya Educon Pvt. Ltd,8-12 Yrs,Not disclosed,Bengaluru,Job description: Responsibilities Qualification and Skills Required •8-12 years of expe...,"data science
SAS
Web analytics
Analytical
Social media
HTML
Omniture
Analytics"
Data Scientist - Credit Risk Analysis - Fintech - IIT/ IIM/ Bits/ NIT,3D India Staffing Research Consulting Pvt Ltd,3-5 Yrs,Not disclosed,Gurgaon,Data Scientist - Credit Risk Analysis - FinTech - IIT / IIM/BITS / NIT (3-5 yrsQualific...,"Quantitative Analysis
Product Management
Lending
IIM
Statistical Analysis
Machine Learning
Credit Risk Analysis
Analytics"
Data Analyst /Data Engineer,Systech Solutions,0-2 Yrs,"3,25,000 - 4,25,000 PA.",Chennai,Dear Candidate Schedule a Telephonic Interview ( Please call for confirmation) : Mon- S...,"Artificial Intelligence
Machine Learning
Python
Business Intelligence
Power Bi
Data Management
Neural Networks
MCA"
Job opportunity - Data Analyst - Remote Work culture,Demand Matrix,2-7 Yrs,Not disclosed,Pune,Must have Strong analytical and critical thinking to resolve business problems using da...,"cloud
python
Azure
technology domain
Data Analyst
aws
Elastic Search
sql"
Master DATA Analyst ( US Shift ),Hitachi ABB Power Grids,2-5 Yrs,Not disclosed,Bengaluru,Mission Statement : This position will support operations by monitoring and analyzing m...,"ERP
SAP
SAS
Alteryx
Knime
EDI
Informatica
Tableau"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,6-9 Yrs,Not disclosed,Bengaluru,Relevant experience in data science should be 5+ and it is mandatory10 years of experie...,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,6-10 Yrs,Not disclosed,Bengaluru,Relevant experience in data science should be 5+ and it is mandatory10 years of experie...,"Data Science
Statistical Modeling
Python
R
SAS
Data Manipulation
Artificial Intelligence
Data Analysis"
Data Scientist,Trangile Services Pvt. Ltd,4-9 Yrs,Not disclosed,"Hong Kong, Noida",Experience in,"IT Skills
Python
Testing
Machine Learning
Data scientist
R
Advanced Analytics
Data Analysis"
Data Scientist,"vLogix Technologies Pvt. Ltd.,",2-5 Yrs,Not disclosed,Chennai(Okkiyam Thuraipakkam),Experience in projects with a full agile system development life cycleBachelors Degree ...,"algorithms
python
data analysis
data science
RDBMS
data mining
numpy
statistical analysis"
Senior Data Scientist,Dream11 Inc,4-9 Yrs,Not disclosed,Mumbai,"Your Role: At Dream11 in the Data Science team, we are looking for highly skilled, self...","Data analysis
Backend
cassandra
MySQL
Machine learning
Data processing
MongoDB
RPM"
Senior Data Scientist,ExecBoardinAsia,5-10 Yrs,Not disclosed,Bengaluru,"As a senior data scientist of the Business Intelligence team, reporting into Senior Eng...","Data analysis
data science
Machine learning
SCALA
Customer service
Business intelligence
Forecasting
Product marketing"
Sr. Data Scientist,Orcapod Consulting Services Private Limited,6-11 Yrs,Not disclosed,Bengaluru,Minimum 1 Year of hands on experience in SQL and should be able to write queriesMinimum...,"Data Science
Python
sql
syntex
Data Analysis"
E-commerce Data Scientist - 3 Month Contract,Beauty Matching Engine,3-8 Yrs,Not disclosed,"Pune, Mumbai, Bengaluru",Role:This is a 3-6 month full-time e-commerce data Scientist contract position with pot...,"Data Science
python
r
exploratory data analysis
Data Analysis
Data Analyst
mongodb
sql"
SENIOR DATA SCIENTIST,McAfee Software (India) Pvt. Ltd,5-9 Yrs,Not disclosed,Bengaluru,"Role Overview: As a senior data scientist of the Business Intelligence team, reporting ...","Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
Data Scientist,ZunRoof Tech Pvt Ltd,1-6 Yrs,Not disclosed,Delhi NCR(Sector-63 Gurgaon),"We are looking for a Data Scientist who will support our IoT products, sales and market...","Data Analysis
Java
R
Logistic Regression
Time Series Analysis
Redis
Machine Learning
Python"
Data Scientist,experionglobal,7-10 Yrs,Not disclosed,"Trivandrum, Kochi",Job Description: Able to connect to new and relevant data and get to customer insights ...,"IT Skills
Java
Python
Cloud
AWS
Tableau
Power BI
Azure"
Data Scientist,experionglobal,7-10 Yrs,Not disclosed,"Trivandrum, Kochi",Able to connect to new and relevant data and get to customer insights very quickly. Res...,"Data analysis
Change management
MySQL
Informatica
microsoft
Oracle
Data mining
Project delivery"
