role,company,exp,salary,location,desc,req
sr. data analyst,Vertex Offshore Services Pvt Ltd,7-10 Yrs,Not disclosed,Hyderabad,Must have experience in property and casualty insurance or in financial servicesMust ha...,"Data Transformation
Data Analysis
Metadata
Data Cleansing
Data Modeling
Data Warehousing
data analyst
SQL"
hiring for data analyst & data scientist in abroad,Global Immigration Consultancy Inc.,3-8 Yrs,"25,00,000 - 37,50,000 PA.","United States (U.S), Hong Kong, Canada","About the Position As we build the future of consumer insurance in a modern age, data i...","IT Skills
Python
Testing
Cloud
AWS
Tableau
matlab
advanced analytics"
hiring for data analyst & data scientist in abroad,Global Immigration Consultancy Inc.,3-8 Yrs,"25,00,000 - 30,00,000 PA.","Hong Kong, Canada, Singapore","Jobs & Responsiblities: Use strong business acumen, as well as an ability to communicat...","logical approach
Interpersonal skills
Problem - solving skills
Teamworking skills
ability to plan
assess the quality
analysis to determine
assess the inspection"
"data analyst/ data scientist at nkp goregoan, mumbai in mnc bank",Novel Financial Solutions Pvt LTd,2-6 Yrs,"3,00,000 - 4,00,000 PA.",Mumbai,"Data analysis, 3-5 years of minimum work experience in operations or data processing. M...","Data Validation
VBA
VLOOKUP
Data Management
Data Analysis
Formulas
Conditional Formatting
Pivot"
data scientist / research analyst,Franklin Templeton International,2-6 Yrs,Not disclosed,Hyderabad,What is the Research Analyst / Data Scientist in Investment Management team responsible...,"Data analysis
Coding
Fixed income
Machine learning
HTTP
Investment management
Medical insurance
Data mining"
data scientist / research analyst,Franklin Templeton International,2-6 Yrs,Not disclosed,Hyderabad,Management team responsible for Partner with investment teams to provide machine learni...,"Data analysis
Coding
Fixed income
Machine learning
HTTP
Investment management
Medical insurance
Data mining"
data scientist/ analyst - machine learning/deep learning,EchoIndia,3-6 Yrs,Not disclosed,Delhi,Strong experience in statistical models and machine learning models,"ArcGIS
Google Maps
NLP
Data Scientist
Data Management
Statistical Modeling
Tableau
Machine Learning"
lead data scientist - analyst,ExecBoardinAsia,5-10 Yrs,Not disclosed,Mumbai,Analyzing and defining business problems Defining rough technology and system requireme...,"Analyst
Manager Technology
Workflow
Data analytics
Research"
"lead data scientist - data analysis, machine learning",HERE,8-13 Yrs,Not disclosed,Mumbai,What You?ll Get: Challenging problems to solve Opportunities to learn cool new things W...,"GIS
Data analysis
SAS
Social media
Debugging
Data mining
MATLAB
Automotive"
sr. business intelligence analyst - data scientist,Wolters Kluwer Private Limited,4-8 Yrs,Not disclosed,Pune,Roles and Responsibilities This is an exciting opportunity be part of the Business Inte...,"Data Science
Predictive Modeling
Business Intelligence
Logistic Regression
NLP
Text Analytics
Data Visualization
Tableau"
software analyst,Kodiak Networks India Private Limited,3-8 Yrs,Not disclosed,Bengaluru(Manayata Tech Park),Required Skills and Technical Experience:3+ years of industry experience in predictive ...,"Predictive Modeling
Natural Language Processing
Python
IT Skills
Python
Big Data
AWS
Azure"
jr data analyst / data scientist,Analytics Vidhya Educon Pvt. Ltd,2-7 Yrs,Not disclosed,Hyderabad,Experience : 1 2 years Requirements : Excellent verbal and written skills Self driven D...,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
data analyst / data scientist,Veda Semantics,3-5 Yrs,Not disclosed,Bengaluru,"Create your Trusted Network Digital Identity amp; Transaction Management of People , De...","Health insurance
Analytical
Relationship building
Machine learning
Data collection
Wellness
Business Development Executive
Customer service"
data analyst / data scientist,Analytics Vidhya Educon Pvt. Ltd,0-4 Yrs,Not disclosed,Noida,Job description: Responsibilities •Defining database format and structures •Dealing dir...,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
data analyst/ data scientist,Platinus Technologies Private Limited,7-12 Yrs,"15,00,000 - 20,00,000 PA.",Hyderabad,Location: Remote / Work from homeHiring a Part-time Supporter for Data ScientistData Sc...,"C++
C
Algorithms
Opencv
Image Processing
Data Structures
Computer Vision
Business Development Management"
data scientist/data analyst/data engineering,Similarityx solutions private limited,0-2 Yrs,"2,25,000 - 3,00,000 PA.","Chennai, Bengaluru, Hyderabad",1.Ability to translate business problems into analytical structures and can be solved u...,"tableau
data management
data analysis
oracle
data mining
hadoop
machine learning
sql server"
data analyst / data scientist - c++/c#/java,Confidential,5-7 Yrs,Not disclosed,Hyderabad,Required Skills & Qualifications : - Strong technical leadership 3 + years of experienc...,"C#
Java
architecting
C++
software development
Data Scientist
Hadoop
Data Analysis"
data scientist - machine learning & statistical analysis - r/python,Talent Stock Solutions,2-5 Yrs,Not disclosed,Delhi,Data Scientist|Tech based Startup | IIT NIT What you'll do : - Analyze and dig out care...,"Data Science
R
C
Data Scientist
Statistical Analyst
Machine Learning
Algorithm
Python"
"hiring for data scientist-research and analyst, kalyani nagar, punr",Wolters Kluwer India Pvt Ltd,4-7 Yrs,Not disclosed,Pune,Essential Responsibilities Efficiently and accurately work on all assigned projects bas...,"texanomies
categorization
Content Analysis
Tagging
Content Research"
data engineers/ scientist/ analyst || crmnext || 3-8 || mumbai,Acidaes Solutions Pvt. Ltd.,3-8 Yrs,Not disclosed,Mumbai,"In case, you find the company profile and JD matching your aspirations and your profile...","Data Quality
Artificial Intelligence
Requirement Gathering
Big Data
Data Governance
Machine Learning
Python"
hiring for data analyst/ data scientist for an organisation in delhi,M/s SIWA SEARCHER PVT. LTD.,3-6 Yrs,"5,00,000 - 10,00,000 PA.",Delhi NCR,"Mandatory : Python, Advanced Excel, Data cleaning, Modeling .Understanding and hands-on...","Statistical Modeling
Data Mining
Advanced Excel
Data Cleaning
Algorithm
Python"
sr. data scientist & data analyst,BSRI Solutions Private Limited,4-8 Yrs,"6,00,000 - 15,00,000 PA.",Chennai,"Bachelor / Masters Degree in a technical field is required (computer science, informati...","cloudera
hive
python
data analysis
data mining
pyspark
hadoop framework
machine learning"
sr. data scientist / analyst,Speridian Technologies Pvt Ltd,10-15 Yrs,Not disclosed,"Mumbai, Bengaluru","Experience: 10 Yrs of Relevant Experience Skills Required: Python, R with Big Data Back...","Analyst
Artificial Intelligence
Social media
Manager Technology
Customer service
Data mining
big data
Operations"
data scientist / data analyst,Bloom Consulting Services,6-11 Yrs,Not disclosed,Bengaluru,"Experience working with big data tools such as MapReduce, Pig, Spark and NoSQL data wil...","Computer science
SAS
Consulting
Data Analyst
Perl
Business solutions
Ruby
Performance improvement"
data scientist / analyst,Hyrefox,2-7 Yrs,Not disclosed,Jaipur,Experience creating and using advanced machine learning algorithms and statistics: regr...,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
data analyst/scientist,itForte Staffing Services Private Ltd.,3-7 Yrs,Not disclosed,Gurgaon,Experience with common data science toolkits - Great communication skills - Experienc...,"MS SQL
Algorithms
Consulting
Machine learning
Data collection
Tools
Data Analyst
Technology solutions"
data scientist / analyst,SevenMentor Private Limited,0-3 Yrs,Not disclosed,Pune,R/ Python/SAS/SPSS programming skills Experience of statistical techniques Experience o...,"Computer science
Analyst
SAS
Machine learning
Programming
Computer application
Data Analyst
SPSS"
